DeliveryCieID,DeliveryCieName,DeliveryCiePhoneNb,Email
1,Logistics_Corp_1,050-5625076,contact1@logistics.co.il
2,Logistics_Corp_2,050-4460769,contact2@logistics.co.il
3,Logistics_Corp_3,050-6260702,contact3@logistics.co.il
4,Logistics_Corp_4,050-9546614,contact4@logistics.co.il
5,Logistics_Corp_5,050-4621887,contact5@logistics.co.il
6,Logistics_Corp_6,050-1002898,contact6@logistics.co.il
7,Logistics_Corp_7,050-8045344,contact7@logistics.co.il
8,Logistics_Corp_8,050-2256870,contact8@logistics.co.il
9,Logistics_Corp_9,050-2316339,contact9@logistics.co.il
10,Logistics_Corp_10,050-6106035,contact10@logistics.co.il
11,Logistics_Corp_11,050-1448200,contact11@logistics.co.il
12,Logistics_Corp_12,050-1677106,contact12@logistics.co.il
13,Logistics_Corp_13,050-1594729,contact13@logistics.co.il
14,Logistics_Corp_14,050-6384698,contact14@logistics.co.il
15,Logistics_Corp_15,050-2822989,contact15@logistics.co.il
16,Logistics_Corp_16,050-4959354,contact16@logistics.co.il
17,Logistics_Corp_17,050-8452473,contact17@logistics.co.il
18,Logistics_Corp_18,050-1818936,contact18@logistics.co.il
19,Logistics_Corp_19,050-7854751,contact19@logistics.co.il
20,Logistics_Corp_20,050-1980350,contact20@logistics.co.il
21,Logistics_Corp_21,050-4146680,contact21@logistics.co.il
22,Logistics_Corp_22,050-6317098,contact22@logistics.co.il
23,Logistics_Corp_23,050-9875649,contact23@logistics.co.il
24,Logistics_Corp_24,050-9133560,contact24@logistics.co.il
25,Logistics_Corp_25,050-7025470,contact25@logistics.co.il
26,Logistics_Corp_26,050-9959022,contact26@logistics.co.il
27,Logistics_Corp_27,050-6523523,contact27@logistics.co.il
28,Logistics_Corp_28,050-6183706,contact28@logistics.co.il
29,Logistics_Corp_29,050-7369426,contact29@logistics.co.il
30,Logistics_Corp_30,050-9802573,contact30@logistics.co.il
31,Logistics_Corp_31,050-5558496,contact31@logistics.co.il
32,Logistics_Corp_32,050-9009756,contact32@logistics.co.il
33,Logistics_Corp_33,050-6423236,contact33@logistics.co.il
34,Logistics_Corp_34,050-1615862,contact34@logistics.co.il
35,Logistics_Corp_35,050-7548180,contact35@logistics.co.il
36,Logistics_Corp_36,050-5158298,contact36@logistics.co.il
37,Logistics_Corp_37,050-7441936,contact37@logistics.co.il
38,Logistics_Corp_38,050-4222994,contact38@logistics.co.il
39,Logistics_Corp_39,050-7646736,contact39@logistics.co.il
40,Logistics_Corp_40,050-3365715,contact40@logistics.co.il
41,Logistics_Corp_41,050-7903119,contact41@logistics.co.il
42,Logistics_Corp_42,050-7241707,contact42@logistics.co.il
43,Logistics_Corp_43,050-4352995,contact43@logistics.co.il
44,Logistics_Corp_44,050-2574060,contact44@logistics.co.il
45,Logistics_Corp_45,050-2391212,contact45@logistics.co.il
46,Logistics_Corp_46,050-9995382,contact46@logistics.co.il
47,Logistics_Corp_47,050-2321363,contact47@logistics.co.il
48,Logistics_Corp_48,050-8492596,contact48@logistics.co.il
49,Logistics_Corp_49,050-3069729,contact49@logistics.co.il
50,Logistics_Corp_50,050-5816832,contact50@logistics.co.il
51,Logistics_Corp_51,050-8642227,contact51@logistics.co.il
52,Logistics_Corp_52,050-1934335,contact52@logistics.co.il
53,Logistics_Corp_53,050-8046475,contact53@logistics.co.il
54,Logistics_Corp_54,050-7670211,contact54@logistics.co.il
55,Logistics_Corp_55,050-7028020,contact55@logistics.co.il
56,Logistics_Corp_56,050-2311717,contact56@logistics.co.il
57,Logistics_Corp_57,050-5919924,contact57@logistics.co.il
58,Logistics_Corp_58,050-4525253,contact58@logistics.co.il
59,Logistics_Corp_59,050-5875286,contact59@logistics.co.il
60,Logistics_Corp_60,050-4206767,contact60@logistics.co.il
61,Logistics_Corp_61,050-7294234,contact61@logistics.co.il
62,Logistics_Corp_62,050-5950732,contact62@logistics.co.il
63,Logistics_Corp_63,050-6374868,contact63@logistics.co.il
64,Logistics_Corp_64,050-4598976,contact64@logistics.co.il
65,Logistics_Corp_65,050-2063364,contact65@logistics.co.il
66,Logistics_Corp_66,050-5636382,contact66@logistics.co.il
67,Logistics_Corp_67,050-7062133,contact67@logistics.co.il
68,Logistics_Corp_68,050-3186599,contact68@logistics.co.il
69,Logistics_Corp_69,050-8040787,contact69@logistics.co.il
70,Logistics_Corp_70,050-1589685,contact70@logistics.co.il
71,Logistics_Corp_71,050-9586589,contact71@logistics.co.il
72,Logistics_Corp_72,050-3513162,contact72@logistics.co.il
73,Logistics_Corp_73,050-9592185,contact73@logistics.co.il
74,Logistics_Corp_74,050-2096483,contact74@logistics.co.il
75,Logistics_Corp_75,050-5731455,contact75@logistics.co.il
76,Logistics_Corp_76,050-1066906,contact76@logistics.co.il
77,Logistics_Corp_77,050-3167360,contact77@logistics.co.il
78,Logistics_Corp_78,050-9761834,contact78@logistics.co.il
79,Logistics_Corp_79,050-3226202,contact79@logistics.co.il
80,Logistics_Corp_80,050-2005619,contact80@logistics.co.il
81,Logistics_Corp_81,050-5591981,contact81@logistics.co.il
82,Logistics_Corp_82,050-6192359,contact82@logistics.co.il
83,Logistics_Corp_83,050-5064469,contact83@logistics.co.il
84,Logistics_Corp_84,050-1214211,contact84@logistics.co.il
85,Logistics_Corp_85,050-6588198,contact85@logistics.co.il
86,Logistics_Corp_86,050-8947282,contact86@logistics.co.il
87,Logistics_Corp_87,050-9083545,contact87@logistics.co.il
88,Logistics_Corp_88,050-8088282,contact88@logistics.co.il
89,Logistics_Corp_89,050-5476066,contact89@logistics.co.il
90,Logistics_Corp_90,050-5276738,contact90@logistics.co.il
91,Logistics_Corp_91,050-2110950,contact91@logistics.co.il
92,Logistics_Corp_92,050-8114356,contact92@logistics.co.il
93,Logistics_Corp_93,050-9266813,contact93@logistics.co.il
94,Logistics_Corp_94,050-4426386,contact94@logistics.co.il
95,Logistics_Corp_95,050-5655690,contact95@logistics.co.il
96,Logistics_Corp_96,050-7184730,contact96@logistics.co.il
97,Logistics_Corp_97,050-4201350,contact97@logistics.co.il
98,Logistics_Corp_98,050-8396647,contact98@logistics.co.il
99,Logistics_Corp_99,050-1913636,contact99@logistics.co.il
100,Logistics_Corp_100,050-8757681,contact100@logistics.co.il
