WarehouseID,Region,Address
1,Jerusalem,Givat Shaul St 12
2,Tel Aviv,Yigal Alon St 94
3,Haifa,HaHistadrut Ave 25
4,Beersheba,Derekh Hevron 10
5,Eilat,HaMelakha St 7
6,Ashdod,HaOmanut St 3
7,Netanya,HaTakhshir St 14
8,Petah Tikva,Bareket St 5
9,Rishon LeZion,Lishansky St 18
10,Holon,HaPlada St 22
11,Rehovot,HaMada St 6
12,Herzliya,Maskit St 10
13,Ra'anana,HaSadan St 4
14,Modi'in,Sderot HaMiktzoot 15
15,Hadera,HaPeled St 8
16,Kfar Saba,HaTa'ash St 2
17,Lod,Abba Eban St 11
18,Ramla,HaAvoda St 1
19,Beit Shemesh,HaYetzira St 9
20,Acre,HaArba'a St 20
21,Tiberias,HaShiloach St 30
22,Nazareth,Iksal Road 45
23,Karmiel,HaMa'alot St 5
24,Nahariya,HaIrit St 12
25,Afula,HaHortican St 7
26,Kiryat Gat,HaTa'asiya St 14
27,Kiryat Shmona,Tel Hai Ave 102
28,Dimona,HaNagar St 4
29,Arad,HaTa'asiya St 2
30,Eilat,Kamen St 3
31,Jerusalem,Talpiot Industrial Zone
32,Tel Aviv,HaMasger St 55
33,Haifa,Check Post Junction
34,Beersheba,Emek Sarah Ind. Zone
35,Ashkelon,HaTa'asiya St 5
36,Bat Yam,HaAmal St 12
37,Bnei Brak,HaYarkon St 8
38,Givatayim,Korazin St 1
39,Ramat Gan,Tuval St 40
40,Hod HaSharon,HaTa'as St 6
41,Ramat HaSharon,HaMinhar St 2
42,Nes Ziona,HaMada St 3
43,Yavne,HaYarkon St 4
44,Or Yehuda,HaHarash St 9
45,Yehud,HaAtzmaut St 12
46,Kiryat Ata,HaHistadrut Ave 150
47,Kiryat Motzkin,HaShmonaim St 4
48,Kiryat Bialik,HaAtzmaut St 20
49,Kiryat Yam,HaNamal St 5
50,Ma'ale Adumim,HaYetzira St 3
51,Jerusalem,Atarot Ind. Zone
52,Tel Aviv,Ramat HaHayal
53,Haifa,HaMifratz Port Area
54,Beersheba,North Ind. Zone
55,Eilat,Industrial Area South
56,Ashdod,North Port Road
57,Netanya,South Poleg Center
58,Petah Tikva,Kiryat Aryeh
59,Rishon LeZion,West Zone Business Park
60,Holon,Industrial South
61,Rehovot,Science Park East
62,Herzliya,Pituach Hi-Tech
63,Ra'anana,North Industrial Area
64,Modi'in,Ligad Center Building A
65,Hadera,North Zone Commercial
66,Kfar Saba,East Zone Business
67,Lod,North Zone Logistics
68,Ramla,South Zone Logistics
69,Beit Shemesh,Har Tuv Zone
70,Acre,South Zone Park
71,Tiberias,Lower Galilee Park
72,Nazareth,Upper Industrial Zone
73,Karmiel,Main Ind. Zone
74,Nahariya,North Zone Road
75,Afula,Cemach Junction
76,Kiryat Gat,Intel Park Entrance
77,Kiryat Shmona,North Park Terminal
78,Dimona,South Park Terminal
79,Arad,East Park Entrance
80,Eilat,Shahmon Center
81,Jerusalem,Malcha Business Park
82,Tel Aviv,Montefiore St 15
83,Haifa,German Colony 44
84,Beersheba,Old City Center
85,Ashkelon,Marina Business Hub
86,Bat Yam,Seafront Zone
87,Bnei Brak,Pardes Katz Area
88,Givatayim,Rambam St 8
89,Ramat Gan,Diamond Exchange Dist.
90,Hod HaSharon,Magdiel Center
91,Ramat HaSharon,Morasha Zone
92,Nes Ziona,Green Valley Park
93,Yavne,South Industrial
94,Or Yehuda,Commercial Zone
95,Yehud,North Industrial
96,Kiryat Ata,West Side Park
97,Kiryat Motzkin,Central Hub
98,Kiryat Bialik,East Side Park
99,Kiryat Yam,South Terminal
100,Ma'ale Adumim,Mishor Adumim
101,Jerusalem,Saharov St 15
102,Tel Aviv,Menachem Begin Road 121
103,Haifa,HaNamal St 40
104,Beersheba,Yitzhak Rager Blvd 20
105,Eilat,Sderot HaTmarim 10
106,Ashdod,Herzl St 1
107,Netanya,Giborei Israel 22
108,Petah Tikva,Jabotinsky St 90
109,Rishon LeZion,Moshe Dayan Blvd 5
110,Holon,HaMerkava St 14
111,Rehovot,Herzl St 180
112,Herzliya,Ben Gurion 33
113,Ra'anana,Ahuza St 100
114,Modi'in,HaMiktzoot 5
115,Hadera,HaNasi St 4
116,Kfar Saba,Weizmann St 50
117,Lod,Zahal St 12
118,Ramla,Herzl St 55
119,Beit Shemesh,Rabin St 2
120,Acre,Ben Ami St 18
121,Tiberias,Hagalil St 1
122,Nazareth,Paulus VI St 12
123,Karmiel,Nesiim St 4
124,Nahariya,Ga'aton Blvd 20
125,Afula,Arlozorov St 11
126,Kiryat Gat,Lakhish Ave 9
127,Kiryat Shmona,Tel Hai 15
128,Dimona,Herzl St 10
129,Arad,HaKanaim St 3
130,Eilat,Argaman St 5
131,Jerusalem,Kanfei Nesharim 22
132,Tel Aviv,HaYarkon St 50
133,Haifa,Stella Maris 1
134,Beersheba,Masada St 4
135,Ashkelon,Barnea St 12
136,Bat Yam,Nissenbaum 30
137,Bnei Brak,Rabbi Akiva 100
138,Givatayim,Weizman 44
139,Ramat Gan,Bialik St 10
140,Hod HaSharon,Ramot St 2
