ProductID,Quantity,MinimumStock
1,142,25
2,56,10
3,110,20
4,8,15
5,95,20
6,0,5
7,187,30
8,43,10
9,122,20
10,67,15
11,130,25
12,15,10
13,89,25
14,104,30
15,5,10
16,175,20
17,48,15
18,112,20
19,36,10
20,198,30
21,12,5
22,167,25
23,88,20
24,114,15
25,4,10
26,156,30
27,73,15
28,189,20
29,21,10
30,134,25
31,92,20
32,17,5
33,145,30
34,61,15
35,183,30
36,39,10
37,115,25
38,7,5
39,102,15
40,55,15
41,143,20
42,28,10
43,199,25
44,84,15
45,167,30
46,11,5
47,150,25
48,68,20
49,121,15
50,34,10
51,176,30
52,9,5
53,125,20
54,87,15
55,154,25
56,42,10
57,189,30
58,63,15
59,110,20
60,16,5
61,132,25
62,78,20
63,195,30
64,22,10
65,164,30
66,91,15
67,143,25
68,3,5
69,118,20
70,52,10
71,197,30
72,85,15
73,176,25
74,31,10
75,148,25
76,69,20
77,119,15
78,14,5
79,173,30
80,96,15
81,161,25
82,47,10
83,129,20
84,82,15
85,108,15
86,25,10
87,155,25
88,74,20
89,184,30
90,8,5
91,182,30
92,60,15
93,137,20
94,38,10
95,114,20
96,93,15
97,169,25
98,19,5
99,145,25
100,57,10
101,193,30
102,81,15
103,148,20
104,33,10
105,161,30
106,70,20
107,126,15
108,13,5
109,178,25
110,99,15
111,181,30
112,45,10
113,127,20
114,86,15
115,115,15
116,27,10
117,158,30
118,75,20
119,159,25
120,6,5
121,185,25
122,64,15
123,132,20
124,40,10
125,116,20
126,97,15
127,174,30
128,24,10
129,149,30
130,59,15
131,104,15
132,83,20
133,151,25
134,35,10
135,168,25
136,72,15
137,135,20
138,10,5
139,181,30
140,94,20
141,190,30
142,49,10
143,133,25
144,80,15
145,123,15
146,29,10
147,160,30
148,77,20
149,165,25
150,2,5
151,191,25
152,66,15
153,141,20
154,41,10
155,119,20
156,95,15
157,180,30
158,23,10
159,153,30
160,62,15
161,107,15
162,79,20
163,155,25
164,37,10
165,171,25
166,71,15
167,139,20
168,18,5
169,184,30
170,98,20
171,192,30
172,51,10
173,137,25
174,88,15
175,128,15
176,32,10
177,165,30
178,76,20
179,171,25
180,5,5
181,195,25
182,65,15
183,146,20
184,44,10
185,121,20
186,92,15
187,185,30
188,26,10
189,157,30
190,58,15
191,112,15
192,85,20
193,162,25
194,39,10
195,174,25
196,74,15
197,144,20
198,15,5
199,187,30
200,90,20
201,198,30
202,53,10
203,139,25
204,81,15
205,133,15
206,30,10
207,169,30
208,80,20
209,177,25
210,9,5
211,201,25
212,68,15
213,152,20
214,46,10
215,124,20
216,96,15
217,191,30
218,28,10
219,162,30
220,61,15
221,116,15
222,87,20
223,168,25
224,41,10
225,179,25
226,73,15
227,149,20
228,20,5
229,192,30
230,94,20
231,100,15
232,55,10
233,142,25
234,84,15
235,138,20
236,33,10
237,172,30
238,78,20
239,182,25
240,11,5
241,205,25
242,69,15
243,157,20
244,48,10
245,128,20
246,91,15
247,196,30
248,25,10
249,166,30
250,65,15
251,122,15
252,89,20
253,173,25
254,43,10
255,183,25
256,75,15
257,154,20
258,21,5
259,196,30
260,97,20
261,14,10
262,58,15
263,146,25
264,86,20
265,142,20
266,35,10
267,177,30
268,82,15
269,187,25
270,13,5
271,209,25
