ProductID,WarehouseID,AisleNb,ShelfNb
1,312,12,4
2,45,3,2
3,489,18,5
4,120,7,1
5,284,15,6
6,55,2,3
7,390,22,4
8,11,1,2
9,402,8,7
10,250,11,3
11,376,19,5
12,88,4,1
13,433,14,6
14,198,6,2
15,310,25,8
16,67,3,4
17,455,16,5
18,143,9,2
19,275,13,7
20,38,2,1
21,411,20,6
22,99,5,3
23,344,17,4
24,201,8,2
25,488,24,5
26,42,1,1
27,367,12,6
28,155,7,3
29,290,14,2
30,76,4,5
31,400,19,7
32,188,9,4
33,322,21,6
34,101,6,2
35,466,15,5
36,25,2,1
37,388,18,8
38,133,5,3
39,266,11,4
40,54,3,2
41,410,23,6
42,87,4,1
43,355,16,7
44,212,8,5
45,477,20,4
46,14,1,2
47,333,13,6
48,166,7,3
49,288,17,5
50,95,5,1
51,444,22,8
52,118,6,4
53,311,14,2
54,49,2,3
55,405,19,6
56,177,9,5
57,366,15,4
58,74,4,1
59,422,21,7
60,199,8,2
61,345,18,5
62,33,1,3
63,387,12,6
64,152,7,4
65,270,16,2
66,85,5,1
67,450,24,8
68,109,3,5
69,321,11,3
70,52,2,4
71,408,20,7
72,185,9,2
73,360,17,6
74,66,4,1
75,418,23,5
76,142,6,3
77,350,15,4
78,91,5,2
79,480,22,6
80,22,1,1
81,377,14,8
82,165,8,4
83,299,19,5
84,79,3,2
85,420,21,7
86,111,6,3
87,340,13,6
88,48,2,1
89,399,18,4
90,195,9,5
91,315,16,2
92,62,4,3
93,460,25,8
94,138,7,4
95,280,12,6
96,89,5,1
97,430,20,5
98,15,1,2
99,358,15,7
100,158,8,3
101,277,17,4
102,59,3,1
103,415,22,6
104,182,9,2
105,330,14,5
106,71,4,3
107,470,19,8
108,125,6,4
109,365,21,7
110,41,2,1
111,380,16,6
112,148,7,2
113,295,11,5
114,82,5,3
115,440,24,6
116,105,3,1
117,325,18,4
118,50,1,2
119,395,20,7
120,175,8,5
121,348,13,3
122,68,4,1
123,455,23,8
124,115,6,4
125,310,15,6
126,96,5,2
127,425,22,5
128,18,2,3
129,360,17,7
130,160,9,4
131,285,12,2
132,65,3,1
133,485,19,6
134,135,7,5
135,340,14,3
136,44,1,2
137,390,21,8
138,188,8,4
139,315,16,5
140,84,4,1
141,450,24,7
142,108,6,3
143,368,20,6
144,57,2,2
145,410,15,5
146,145,9,1
147,290,23,8
148,77,5,4
149,435,18,6
150,12,1,3
151,375,13,5
152,170,7,2
153,320,22,7
154,92,4,1
155,475,17,6
156,128,8,3
157,355,25,8
158,61,3,2
159,405,19,5
160,192,9,4
161,335,14,7
162,39,2,1
163,445,21,6
164,156,6,3
165,280,16,5
166,86,5,2
167,495,24,8
168,112,3,1
169,385,18,6
170,21,1,4
171,418,20,5
172,174,7,2
173,342,15,7
174,69,4,3
175,465,23,8
176,131,8,1
177,362,12,6
178,98,5,4
179,428,22,5
180,45,2,2
181,318,17,7
182,185,9,3
183,392,14,6
184,73,3,1
185,482,21,8
186,104,6,5
187,352,19,4
188,28,1,2
189,408,16,7
190,150,7,3
191,298,24,6
192,81,4,1
193,438,20,5
194,124,8,2
195,372,13,8
196,55,2,4
197,458,25,6
198,196,9,1
199,328,15,5
200,90,5,3
201,412,22,7
202,168,6,2
203,382,18,6
204,40,1,1
205,472,21,8
206,141,7,4
207,308,16,5
208,76,3,2
209,425,23,7
210,115,8,3
211,365,14,6
212,63,4,1
213,448,19,5
214,188,9,2
215,338,24,8
216,88,5,4
217,402,17,6
218,25,2,1
219,395,20,7
220,154,6,3
221,312,15,5
222,95,4,2
223,485,22,8
224,122,7,1
225,355,18,6
226,50,1,3
227,432,25,7
228,176,9,4
229,325,13,6
230,78,3,2
231,468,21,5
232,106,8,1
233,380,16,8
234,36,2,4
235,415,24,7
236,145,6,3
237,295,19,6
238,82,5,1
239,452,20,5
240,19,1,2
241,348,14,8
242,162,7,4
243,398,23,6
244,91,4,3
245,422,17,5
246,134,9,1
247,375,22,7
248,58,2,2
249,478,18,6
250,111,8,4
251,332,15,8
252,85,5,3
253,408,21,5
254,42,1,1
255,368,24,7
256,181,6,2
257,315,19,6
258,66,3,4
259,442,16,5
260,155,7,1
261,385,25,8
262,98,4,2
263,492,20,7
264,127,9,3
265,342,13,6
266,29,1,5
267,428,22,8
268,172,8,2
269,305,18,4
270,74,5,1
271,462,23,7
272,101,6,3
273,358,15,6
274,47,2,2
275,412,19,5
276,144,7,4
277,288,24,8
278,81,4,1
279,435,17,6
280,195,9,3
281,372,21,7
282,62,3,2
283,475,14,5
284,118,8,1
285,322,20,8
286,32,1,4
287,392,16,6
288,165,6,3
289,310,25,5
290,92,5,2
291,455,22,7
292,137,7,1
293,365,18,8
294,52,2,3
295,402,23,6
296,188,9,4
297,345,15,5
298,87,4,2
299,485,20,7
300,109,8,1
301,335,14,6
302,24,1,3
303,425,24,8
304,152,6,5
305,295,19,7
306,71,3,2
307,465,17,6
308,121,7,1
309,380,21,5
310,48,2,4
311,418,16,8
312,175,9,2
313,352,22,6
314,84,5,3
315,448,18,7
316,105,8,1
317,312,25,5
318,37,1,2
319,398,20,8
320,148,6,4
321,328,13,6
322,65,4,1
323,432,23,7
324,191,7,3
325,375,15,5
326,94,3,2
327,472,24,8
328,124,9,1
329,340,19,6
330,55,2,5
331,405,17,7
332,168,8,3
333,285,21,5
