OrderId,Price,DeliveryDate,OrderDate,StoreID,DriverID
1,450.25,,2026-04-20 10:00:00,1,1
2,120.50,,2026-04-21 09:15:00,2,1
3,890.00,2026-04-25 16:45:00,2026-04-22 14:00:00,3,6
4,320.75,,2026-04-23 08:30:00,4,6
5,1100.40,,2026-04-24 11:20:00,5,6
6,55.00,,2026-04-25 13:45:00,6,11
7,670.30,2026-04-20 14:20:00,2026-04-18 09:00:00,7,16
8,215.15,,2026-04-26 16:30:00,8,21
9,432.80,,2026-04-26 12:00:00,9,21
10,95.60,2026-04-20 09:00:00,2026-04-18 14:10:00,10,26
11,780.00,,2026-04-27 10:00:00,11,26
12,125.45,,2026-04-27 08:20:00,12,26
13,340.20,,2026-04-27 11:00:00,13,31
14,560.90,2026-04-25 10:00:00,2026-04-23 13:15:00,14,31
15,102.50,,2026-04-27 09:30:00,15,36
16,875.00,,2026-04-27 14:00:00,16,41
17,640.30,2026-04-22 10:30:00,2026-04-20 08:45:00,17,41
18,1200.00,,2026-04-27 11:00:00,18,46
19,45.75,,2026-04-27 13:00:00,19,46
20,210.60,,2026-04-27 16:30:00,20,46
21,550.00,2026-04-25 16:15:00,2026-04-23 10:00:00,21,51
22,990.25,,2026-04-27 09:15:00,22,51
23,130.40,,2026-04-27 11:45:00,23,56
24,440.80,2026-04-24 09:30:00,2026-04-22 08:20:00,24,61
25,670.00,,2026-04-27 10:00:00,25,61
26,115.50,,2026-04-27 14:10:00,26,61
27,330.20,,2026-04-27 12:00:00,27,66
28,890.75,2026-04-25 14:30:00,2026-04-22 09:30:00,28,71
29,540.30,,2026-04-27 11:00:00,29,76
30,75.00,,2026-04-27 13:15:00,30,81
31,660.40,2026-04-24 10:30:00,2026-04-21 08:45:00,31,86
32,190.20,,2026-04-27 16:30:00,32,86
33,420.00,,2026-04-27 10:00:00,33,86
34,880.50,,2026-04-27 09:15:00,34,91
35,1250.00,2026-04-25 16:00:00,2026-04-22 11:45:00,35,96
36,310.40,,2026-04-27 13:00:00,36,96
37,65.80,,2026-04-27 12:00:00,37,101
38,440.00,2026-04-25 11:00:00,2026-04-22 09:30:00,38,101
39,920.15,,2026-04-27 14:00:00,39,106
40,110.45,,2026-04-27 11:00:00,40,111
41,340.20,2026-04-24 09:00:00,2026-04-21 08:20:00,41,111
42,560.75,,2026-04-27 16:30:00,42,116
43,89.00,,2026-04-27 10:00:00,43,116
44,775.30,,2026-04-27 09:15:00,44,121
45,120.00,2026-04-25 10:00:00,2026-04-22 11:45:00,45,121
46,410.25,,2026-04-27 13:00:00,46,121
47,630.50,,2026-04-27 12:00:00,47,126
48,99.40,2026-04-25 15:45:00,2026-04-22 09:30:00,48,131
49,320.00,,2026-04-27 14:10:00,49,136
50,850.75,,2026-04-27 11:00:00,50,136
51,450.00,,2026-04-20 10:00:00,51,251
52,120.00,,2026-04-20 11:00:00,52,256
53,670.00,2026-04-22 14:00:00,2026-04-20 08:30:00,53,261
54,340.00,,2026-04-21 13:00:00,54,266
55,89.00,,2026-04-21 11:00:00,55,271
56,1100.00,2026-04-23 09:30:00,2026-04-21 08:45:00,56,276
57,215.00,,2026-04-22 16:30:00,57,281
58,432.00,,2026-04-22 12:00:00,58,286
59,95.00,,2026-04-22 09:15:00,59,291
60,780.00,2026-04-24 16:00:00,2026-04-22 14:00:00,60,296
61,125.00,,2026-04-23 10:00:00,61,301
62,340.00,,2026-04-23 11:00:00,62,306
63,560.00,,2026-04-23 09:15:00,63,311
64,102.00,2026-04-25 11:15:00,2026-04-23 08:30:00,64,316
65,875.00,,2026-04-24 13:00:00,65,321
66,640.00,,2026-04-24 11:00:00,66,326
67,1200.00,,2026-04-24 08:20:00,67,331
68,45.00,2026-04-26 14:20:00,2026-04-24 10:00:00,68,336
69,210.00,,2026-04-25 09:15:00,69,341
70,550.00,,2026-04-25 12:00:00,70,346
71,990.00,,2026-04-25 11:45:00,71,351
72,130.00,2026-04-27 14:00:00,2026-04-25 13:00:00,72,356
73,440.00,,2026-04-26 10:00:00,73,361
74,670.00,,2026-04-26 09:15:00,74,366
75,115.00,,2026-04-26 11:45:00,75,371
76,330.00,2026-04-28 10:00:00,2026-04-26 13:00:00,76,376
77,890.00,,2026-04-27 12:00:00,77,381
78,540.00,,2026-04-27 10:30:00,78,386
79,75.00,,2026-04-27 09:00:00,79,391
80,660.00,2026-04-29 10:30:00,2026-04-27 16:30:00,80,396
81,190.00,,2026-04-27 10:00:00,81,401
82,420.00,,2026-04-27 14:10:00,82,406
83,880.00,,2026-04-27 08:20:00,83,411
84,1250.00,2026-04-30 16:00:00,2026-04-27 11:00:00,84,416
85,310.00,,2026-04-27 09:30:00,85,421
86,65.00,,2026-04-27 13:15:00,86,426
87,440.00,,2026-04-27 11:00:00,87,431
88,920.00,,2026-04-27 16:30:00,88,436
89,110.00,,2026-04-27 10:00:00,89,441
90,340.00,,2026-04-27 09:15:00,90,446
91,560.00,,2026-04-27 12:00:00,91,451
92,89.00,,2026-04-27 08:30:00,92,456
93,775.00,,2026-04-27 14:00:00,93,461
94,120.00,,2026-04-27 10:00:00,94,466
95,410.00,,2026-04-27 09:15:00,95,471
96,630.00,,2026-04-27 13:00:00,96,476
97,99.00,,2026-04-27 11:45:00,97,481
98,320.00,,2026-04-27 16:30:00,98,486
99,850.00,,2026-04-27 14:10:00,99,491
100,215.00,,2026-04-27 12:00:00,100,496
101,432.00,2025-01-15 14:00:00,2025-01-12 10:30:00,101,2
102,95.00,2025-01-20 11:00:00,2025-01-17 09:00:00,102,7
103,780.00,2025-01-25 10:00:00,2025-01-22 15:45:00,103,12
104,125.00,2025-01-30 16:30:00,2025-01-27 11:15:00,104,17
105,340.00,2025-02-05 14:00:00,2025-02-01 10:00:00,105,22
106,560.00,2025-02-10 11:00:00,2025-02-07 09:30:00,106,27
107,102.00,2025-02-15 10:30:00,2025-02-12 08:20:00,107,32
108,875.00,2025-02-20 15:45:00,2025-02-17 14:10:00,108,37
109,640.00,2025-02-25 11:15:00,2025-02-22 12:00:00,109,42
110,1200.00,2025-03-01 09:30:00,2025-02-26 13:15:00,110,47
111,45.00,2025-03-05 14:20:00,2025-03-01 10:30:00,111,52
112,210.00,2025-03-10 11:00:00,2025-03-07 08:45:00,112,57
113,550.00,2025-03-15 10:30:00,2025-03-12 16:30:00,113,62
114,990.00,2025-03-20 15:45:00,2025-03-17 09:00:00,114,67
115,130.00,2025-03-25 09:00:00,2025-03-22 14:20:00,115,72
116,440.00,2025-03-30 11:15:00,2025-03-27 10:30:00,116,77
117,670.00,2025-04-05 16:00:00,2025-04-01 12:00:00,117,82
118,115.00,2025-04-10 11:45:00,2025-04-07 09:15:00,118,87
119,330.00,2025-04-15 14:30:00,2025-04-12 11:00:00,119,92
120,890.00,2025-04-20 10:00:00,2025-04-17 08:30:00,120,97
121,540.00,2025-04-25 11:15:00,2025-04-22 09:45:00,121,102
122,75.00,2025-04-30 15:45:00,2025-04-26 13:15:00,122,107
123,660.00,2025-05-05 10:30:00,2025-05-01 10:00:00,123,112
124,190.00,2025-05-10 09:00:00,2025-05-07 08:20:00,124,117
125,420.00,2025-05-15 14:20:00,2025-05-12 16:30:00,125,122
126,880.00,2025-05-20 11:00:00,2025-05-17 10:30:00,126,127
127,1250.00,2025-05-25 16:15:00,2025-05-22 14:00:00,127,132
128,310.00,2025-05-30 10:30:00,2025-05-27 09:15:00,128,137
129,65.00,2025-06-05 14:00:00,2025-06-02 11:45:00,129,142
130,440.00,2025-06-10 09:30:00,2025-06-07 08:20:00,130,147
131,920.00,2025-06-15 11:15:00,2025-06-12 13:00:00,131,152
132,110.00,2025-06-20 16:45:00,2025-06-17 14:10:00,132,157
133,340.00,2025-06-25 10:00:00,2025-06-22 12:00:00,133,162
134,560.00,2025-06-30 14:30:00,2025-06-27 10:30:00,134,167
135,102.00,2025-07-05 11:00:00,2025-07-02 09:15:00,135,172
136,875.00,2025-07-10 15:45:00,2025-07-07 13:15:00,136,177
137,640.00,2025-07-15 10:30:00,2025-07-12 11:00:00,137,182
