DriverID,Active,Capacity,LicensePlate,MaintenanceStatus,DeliveryCieID
1,1,2,11-101-AA,Good,1
2,1,1,11-102-AB,Good,1
3,1,3,11-103-AC,Fair,1
4,1,2,11-104-AD,Good,1
5,0,1,11-105-AE,Maintenance Required,1
6,1,3,12-201-BA,Good,2
7,1,2,12-202-BB,Good,2
8,1,1,12-203-BC,Good,2
9,1,3,12-204-BD,Fair,2
10,1,2,12-205-BE,Good,2
11,1,1,13-301-CA,Good,3
12,1,3,13-302-CB,Good,3
13,1,2,13-303-CC,Maintenance Required,3
14,1,1,13-304-CD,Good,3
15,1,2,13-305-CE,Good,3
16,1,3,14-401-DA,Good,4
17,1,1,14-402-DB,Good,4
18,1,2,14-403-DC,Fair,4
19,1,3,14-404-DD,Good,4
20,0,2,14-405-DE,Good,4
21,1,1,15-501-EA,Good,5
22,1,3,15-502-EB,Good,5
23,1,2,15-503-EC,Good,5
24,1,1,15-504-ED,Maintenance Required,5
25,1,3,15-505-EE,Good,5
26,1,2,16-601-FA,Good,6
27,1,1,16-602-FB,Good,6
28,1,3,16-603-FC,Fair,6
29,1,2,16-604-FD,Good,6
30,1,1,16-605-FE,Good,6
31,1,3,17-701-GA,Good,7
32,1,2,17-702-GB,Good,7
33,1,1,17-703-GC,Good,7
34,0,3,17-704-GD,Maintenance Required,7
35,1,2,17-705-GE,Fair,7
36,1,1,18-801-HA,Good,8
37,1,3,18-802-HB,Good,8
38,1,2,18-803-HC,Good,8
39,1,1,18-804-HD,Good,8
40,1,3,18-805-HE,Good,8
41,1,2,19-901-IA,Good,9
42,1,1,19-902-IB,Fair,9
43,1,3,19-903-IC,Good,9
44,1,2,19-904-ID,Good,9
45,1,1,19-905-IE,Good,9
46,1,3,20-001-JA,Good,10
47,1,2,20-002-JB,Good,10
48,0,1,20-003-JC,Maintenance Required,10
49,1,3,20-004-JD,Good,10
50,1,2,20-005-JE,Good,10
51,1,1,21-101-KA,Good,11
52,1,3,21-102-KB,Good,11
53,1,2,21-103-KC,Fair,11
54,1,1,21-104-KD,Good,11
55,1,3,21-105-KE,Good,11
56,1,2,22-201-LA,Good,12
57,1,1,22-202-LB,Good,12
58,1,3,22-203-LC,Maintenance Required,12
59,1,2,22-204-LD,Good,12
60,1,1,22-205-LE,Good,12
61,1,3,23-301-MA,Good,13
62,1,2,23-302-MB,Fair,13
63,1,1,23-303-MC,Good,13
64,1,3,23-304-MD,Good,13
65,0,2,23-305-ME,Good,13
66,1,1,24-401-NA,Good,14
67,1,3,24-402-NB,Good,14
68,1,2,24-403-NC,Good,14
69,1,1,24-404-ND,Good,14
70,1,3,24-405-NE,Maintenance Required,14
71,1,2,25-501-OA,Good,15
72,1,1,25-502-OB,Fair,15
73,1,3,25-503-OC,Good,15
74,1,2,25-504-OD,Good,15
75,1,1,25-505-OE,Good,15
76,1,3,26-601-PA,Good,16
77,1,2,26-602-PB,Good,16
78,0,1,26-603-PC,Maintenance Required,16
79,1,3,26-604-PD,Good,16
80,1,2,26-605-PE,Good,16
81,1,1,27-701-QA,Good,17
82,1,3,27-702-QB,Fair,17
83,1,2,27-703-QC,Good,17
84,1,1,27-704-QD,Good,17
85,1,3,27-705-QE,Good,17
86,1,2,28-801-RA,Good,18
87,1,1,28-802-RB,Good,18
88,1,3,28-803-RC,Good,18
89,1,2,28-804-RD,Fair,18
90,1,1,28-805-RE,Maintenance Required,18
91,1,3,29-901-SA,Good,19
92,1,2,29-902-SB,Good,19
93,0,1,29-903-SC,Good,19
94,1,3,29-904-SD,Good,19
95,1,2,29-905-SE,Good,19
96,1,1,30-001-TA,Good,20
97,1,3,30-002-TB,Fair,20
98,1,2,30-003-TC,Good,20
99,1,1,30-004-TD,Good,20
100,1,3,30-005-TE,Maintenance Required,20
101,1,2,31-101-UA,Good,21
102,1,1,31-102-UB,Good,21
103,1,3,31-103-UC,Good,21
104,1,2,31-104-UD,Good,21
105,1,1,31-105-UE,Fair,21
106,1,3,32-201-VA,Good,22
107,1,2,32-202-VB,Good,22
108,1,1,32-203-VC,Good,22
109,0,3,32-204-VD,Maintenance Required,22
110,1,2,32-205-VE,Good,22
111,1,1,33-301-WA,Good,23
112,1,3,33-302-WB,Good,23
113,1,2,33-303-WC,Fair,23
114,1,1,33-304-WD,Good,23
115,1,3,33-305-WE,Good,23
116,1,2,34-401-XA,Good,24
117,1,1,34-402-XB,Maintenance Required,24
118,1,3,34-403-XC,Good,24
119,1,2,34-404-XD,Good,24
120,1,1,34-405-XE,Fair,24
121,1,3,35-501-YA,Good,25
122,0,2,35-502-YB,Good,25
123,1,1,35-503-YC,Good,25
