StoreID,StoreName,Phone,Rating,WebSiteUrl
1,RL Jerusalem 1,0274897187,3,https://www.rl-jerusalem-1.co.il
2,RL Tel Aviv 1,0247547516,4,https://www.rl-tel-aviv-1.co.il
3,RL Haifa 1,0243133333,1,https://www.rl-haifa-1.co.il
4,RL Beersheba 1,0229796521,4,https://www.rl-beersheba-1.co.il
5,RL Eilat 1,0202739876,1,https://www.rl-eilat-1.co.il
6,RL Ashdod 1,0257820121,3,https://www.rl-ashdod-1.co.il
7,RL Netanya 1,0212615278,5,https://www.rl-netanya-1.co.il
8,RL Petah Tikva 1,0280484756,4,https://www.rl-petah-tikva-1.co.il
9,RL Rishon LeZion 1,0237983922,2,https://www.rl-rishon-lezion-1.co.il
10,RL Holon 1,0287918504,3,https://www.rl-holon-1.co.il
11,RL Rehovot 1,0275024531,3,https://www.rl-rehovot-1.co.il
12,RL Herzliya 1,0249692736,4,https://www.rl-herzliya-1.co.il
13,RL Ra'anana 1,0293424510,5,https://www.rl-raanana-1.co.il
14,RL Modi'in 1,0246132879,3,https://www.rl-modiin-1.co.il
15,RL Hadera 1,0288335662,1,https://www.rl-hadera-1.co.il
16,RL Kfar Saba 1,0282175178,2,https://www.rl-kfar-saba-1.co.il
17,RL Lod 1,0229920680,1,https://www.rl-lod-1.co.il
18,RL Ramla 1,0246046251,3,https://www.rl-ramla-1.co.il
19,RL Beit Shemesh 1,0285040965,1,https://www.rl-beit-shemesh-1.co.il
20,RL Acre 1,0287211264,1,https://www.rl-acre-1.co.il
21,RL Tiberias 1,0287064708,3,https://www.rl-tiberias-1.co.il
22,RL Nazareth 1,0204845862,4,https://www.rl-nazareth-1.co.il
23,RL Karmiel 1,0285748913,4,https://www.rl-karmiel-1.co.il
24,RL Nahariya 1,0293904824,1,https://www.rl-nahariya-1.co.il
25,RL Afula 1,0270444327,3,https://www.rl-afula-1.co.il
26,RL Kiryat Gat 1,0255147360,5,https://www.rl-kiryat-gat-1.co.il
27,RL Kiryat Shmona 1,0276783647,5,https://www.rl-kiryat-shmona-1.co.il
28,RL Dimona 1,0253367624,4,https://www.rl-dimona-1.co.il
29,RL Arad 1,0205835147,3,https://www.rl-arad-1.co.il
30,RL Ashkelon 1,0227632139,5,https://www.rl-ashkelon-1.co.il
31,RL Jerusalem 2,0260247499,4,https://www.rl-jerusalem-2.co.il
32,RL Tel Aviv 2,0213902034,5,https://www.rl-tel-aviv-2.co.il
33,RL Haifa 2,0277206243,2,https://www.rl-haifa-2.co.il
34,RL Beersheba 2,0266308164,2,https://www.rl-beersheba-2.co.il
35,RL Eilat 2,0212927541,5,https://www.rl-eilat-2.co.il
36,RL Ashdod 2,0251704471,3,https://www.rl-ashdod-2.co.il
37,RL Netanya 2,0244402177,5,https://www.rl-netanya-2.co.il
38,RL Petah Tikva 2,0293468091,2,https://www.rl-petah-tikva-2.co.il
39,RL Rishon LeZion 2,0269517982,1,https://www.rl-rishon-lezion-2.co.il
