StoreID,StoreName,Phone,Rating,WebSiteUrl
1,RL Jerusalem 1,0234800343,3,https://www.rl-jerusalem-1.co.il
2,RL Tel Aviv 1,0240340481,3,https://www.rl-tel-aviv-1.co.il
3,RL Haifa 1,0268238225,4,https://www.rl-haifa-1.co.il
4,RL Beersheba 1,0225389363,2,https://www.rl-beersheba-1.co.il
5,RL Eilat 1,0228388508,1,https://www.rl-eilat-1.co.il
6,RL Ashdod 1,0274541216,5,https://www.rl-ashdod-1.co.il
7,RL Netanya 1,0202389272,2,https://www.rl-netanya-1.co.il
8,RL Petah Tikva 1,0227880305,5,https://www.rl-petah-tikva-1.co.il
9,RL Rishon LeZion 1,0201608253,2,https://www.rl-rishon-lezion-1.co.il
10,RL Holon 1,0288696781,3,https://www.rl-holon-1.co.il
11,RL Rehovot 1,0276151152,1,https://www.rl-rehovot-1.co.il
12,RL Herzliya 1,0295204330,3,https://www.rl-herzliya-1.co.il
13,RL Ra'anana 1,0235294225,3,https://www.rl-raanana-1.co.il
14,RL Modi'in 1,0273135038,3,https://www.rl-modiin-1.co.il
15,RL Hadera 1,0208238365,4,https://www.rl-hadera-1.co.il
16,RL Kfar Saba 1,0298160121,2,https://www.rl-kfar-saba-1.co.il
17,RL Lod 1,0296816819,4,https://www.rl-lod-1.co.il
18,RL Ramla 1,0212467902,4,https://www.rl-ramla-1.co.il
19,RL Beit Shemesh 1,0241915076,1,https://www.rl-beit-shemesh-1.co.il
20,RL Acre 1,0264314164,4,https://www.rl-acre-1.co.il
21,RL Tiberias 1,0247275949,5,https://www.rl-tiberias-1.co.il
22,RL Nazareth 1,0246034124,4,https://www.rl-nazareth-1.co.il
23,RL Karmiel 1,0251940408,3,https://www.rl-karmiel-1.co.il
24,RL Nahariya 1,0298820638,4,https://www.rl-nahariya-1.co.il
25,RL Afula 1,0213560402,5,https://www.rl-afula-1.co.il
26,RL Kiryat Gat 1,0281976380,1,https://www.rl-kiryat-gat-1.co.il
27,RL Kiryat Shmona 1,0210865255,2,https://www.rl-kiryat-shmona-1.co.il
28,RL Dimona 1,0212492299,4,https://www.rl-dimona-1.co.il
29,RL Arad 1,0282500260,4,https://www.rl-arad-1.co.il
30,RL Ashkelon 1,0268375499,4,https://www.rl-ashkelon-1.co.il
31,RL Jerusalem 2,0264996157,5,https://www.rl-jerusalem-2.co.il
32,RL Tel Aviv 2,0220539422,2,https://www.rl-tel-aviv-2.co.il
33,RL Haifa 2,0228041143,4,https://www.rl-haifa-2.co.il
34,RL Beersheba 2,0221378714,2,https://www.rl-beersheba-2.co.il
35,RL Eilat 2,0202663376,5,https://www.rl-eilat-2.co.il
36,RL Ashdod 2,0238157432,3,https://www.rl-ashdod-2.co.il
37,RL Netanya 2,0280208313,2,https://www.rl-netanya-2.co.il
38,RL Petah Tikva 2,0222820423,5,https://www.rl-petah-tikva-2.co.il
39,RL Rishon LeZion 2,0205300688,4,https://www.rl-rishon-lezion-2.co.il
40,RL Holon 2,0285655631,1,https://www.rl-holon-2.co.il
41,RL Rehovot 2,0267260509,1,https://www.rl-rehovot-2.co.il
42,RL Herzliya 2,0286758522,2,https://www.rl-herzliya-2.co.il
43,RL Ra'anana 2,0220481755,4,https://www.rl-raanana-2.co.il
44,RL Modi'in 2,0241172978,3,https://www.rl-modiin-2.co.il
45,RL Hadera 2,0237992839,3,https://www.rl-hadera-2.co.il
46,RL Kfar Saba 2,0279775280,4,https://www.rl-kfar-saba-2.co.il
47,RL Lod 2,0267563832,4,https://www.rl-lod-2.co.il
48,RL Ramla 2,0269120967,2,https://www.rl-ramla-2.co.il
49,RL Beit Shemesh 2,0247983355,3,https://www.rl-beit-shemesh-2.co.il
50,RL Acre 2,0263324787,1,https://www.rl-acre-2.co.il
51,RL Tiberias 2,0233944917,5,https://www.rl-tiberias-2.co.il
52,RL Nazareth 2,0225635731,2,https://www.rl-nazareth-2.co.il
53,RL Karmiel 2,0290647890,3,https://www.rl-karmiel-2.co.il
54,RL Nahariya 2,0264519607,2,https://www.rl-nahariya-2.co.il
55,RL Afula 2,0225119932,3,https://www.rl-afula-2.co.il
56,RL Kiryat Gat 2,0214490519,5,https://www.rl-kiryat-gat-2.co.il
57,RL Kiryat Shmona 2,0207913040,4,https://www.rl-kiryat-shmona-2.co.il
58,RL Dimona 2,0234818019,4,https://www.rl-dimona-2.co.il
59,RL Arad 2,0218038703,3,https://www.rl-arad-2.co.il
60,RL Ashkelon 2,0249082801,3,https://www.rl-ashkelon-2.co.il
61,RL Jerusalem 3,0225436894,2,https://www.rl-jerusalem-3.co.il
62,RL Tel Aviv 3,0289025279,4,https://www.rl-tel-aviv-3.co.il
63,RL Haifa 3,0247920700,3,https://www.rl-haifa-3.co.il
64,RL Beersheba 3,0259131515,3,https://www.rl-beersheba-3.co.il
65,RL Eilat 3,0247489905,5,https://www.rl-eilat-3.co.il
